# C->Lua event fire sites of the 1.12.1 client (build 5875): every call and tail-jmp to
# FrameScript_SignalEvent (0x703e50, ecx=eventId) and SignalEvent2 (0x703f50, [esp]=eventId +
# printf-style arg_format). eventId is resolved via 1.12-event-catalog.tsv; "dyn" = computed
# (e.g. a UnitField update loop); a blank name = the id has no entry in the name table.
#
# arg_format is the format string the site pushes: a declaration, not a census of what the
# caller pushed. The marshaller 0x704f10 consumes one vararg per directive (%f eight bytes,
# everything else four), so a format that declares more than its caller pushed hands Lua
# undefined values. Of the 149 SignalEvent2 sites exactly three do: 0x496230
# TRADE_REPLACE_ENCHANT "%s%s%d" declares 3 and pushes 2; 0x5e4527 and 0x5e7960 UPDATE_TICKET
# "%d%s%f%f%f%d%d" declare 10 dwords and push 7 (their sibling 0x5e45e2 pushes the full 12).
# Every other site's format matches its caller.
#
# The name column resolves every id through the in-game table (0xbe1198, 549 entries). 0x703d90
# is called twice with different populations, 0x46a88f with (0xb41e70, 26) for the glue phase
# and 0x48feab with (0xbe1198, 549) for the world, and rebuilds [0xceef68] wholesale from
# whichever it is handed, so the same integer names a different event in the two phases, and
# 0x703e50 bounds-checks nothing. 22 rows here sit in a `Source\Glue\` TU (0x46aa34;
# 0x46bc9d-0x46c52e inside 0x46b930; 0x46e73d; 0x47461e): their ids belong to the glue space and
# are never named from 1.12-event-catalog.tsv; their names are blank here. 0x46aa34 fires id 22,
# which is FRAMES_LOADED in the glue table (GlueParent.lua:94), not the in-game UNIT_MAXHEALTH.
#
# An event with no row here is not an event with no producer. This covers the two signal
# helpers' own call/jmp sites, and the per-field UNIT_* family reaches them through a wrapper:
# 0x515e50(&guid, id) fans out over the unit tokens and fires 0x703f50(id, "%s", token) at
# 0x515e7a, the "?" row below. Its 38 callers carry the id in edx; one of them, 0x51bd5b in the
# UpdateField watch callback 0x51bd50, computes it as (registered field byte offset >> 2), so
# ids 0x00-0xb5 (every named unit descriptor field, UNIT_FLAGS 40 included) are produced there
# and appear nowhere in this file. 0x51bd50 is the sole producer of 40; its fire condition is a
# repe cmpsb of the watched span against the object's shadow, at 0x4655bb. Most other
# 0x515e50 sites carry a literal id in edx, absent here too at any magnitude: {0x10 0x16 0x1c
# 0x1d 0x1e 0x29 0xb7 0xb8 0xb9 0xba 0xbb 0x159 0x197 0x20a}. So 0x197 = 407
# PLAYER_FLAGS_CHANGED (0x5eea35 mov edx,0x197 / 0x5eea3d call 0x515e50, inside the
# PLAYER_FLAGS delta handler 0x5ee990) lies outside 0x00-0xb5 and still has a producer. Same
# shape for 0x5de4b0 (id = its userdata, arg1 hardcoded "player") and 0x49b199 (id from the
# table at 0x8062e0).
fire_site_va	dispatcher	eventId	name	arg_format
0x4f84df	SignalEvent	349	BANKFRAME_CLOSED	
0x4f8522	SignalEvent	348	BANKFRAME_OPENED	
0x4f8e8a	SignalEvent2	328	BAG_UPDATE	%d
0x4f92b5	SignalEvent2	329	BAG_CLOSED	%d
0x4f9343	SignalEvent2	328	BAG_UPDATE	%d
0x4f93bf	SignalEvent2	328	BAG_UPDATE	%d
0x4f93d5	SignalEvent	330	BAG_UPDATE_COOLDOWN	
0x4f9434	SignalEvent2	327	BAG_OPEN	%d
0x4f9469	SignalEvent2	327	BAG_OPEN	%d
0x4facaa	SignalEvent	317	MERCHANT_UPDATE	
0x4fad92	SignalEvent	316	MERCHANT_SHOW	
0x4fae2c	SignalEvent	318	MERCHANT_CLOSED	
0x4faea5	SignalEvent	317	MERCHANT_UPDATE	
0x4faebd	SignalEvent	317	MERCHANT_UPDATE	
0x4fb115	SignalEvent	317	MERCHANT_UPDATE	
0x4fb575	SignalEvent	317	MERCHANT_UPDATE	
0x4fc884	SignalEvent	315	TRADE_SKILL_CLOSE	
0x4fc930	SignalEvent	315	TRADE_SKILL_CLOSE	
0x4fc99f	SignalEvent	313	TRADE_SKILL_SHOW	
0x4fd164	SignalEvent	314	TRADE_SKILL_UPDATE	
0x4fd725	SignalEvent	314	TRADE_SKILL_UPDATE	
0x4fd745	SignalEvent	314	TRADE_SKILL_UPDATE	
0x4fd765	SignalEvent	314	TRADE_SKILL_UPDATE	
0x4fd781	SignalEvent	502	UPDATE_TRADESKILL_RECAST	
0x4fd7a8	SignalEvent	502	UPDATE_TRADESKILL_RECAST	
0x4fd7e1	SignalEvent	502	UPDATE_TRADESKILL_RECAST	
0x500ee5	SignalEvent	300	QUEST_GREETING	
0x50105d	SignalEvent	303	QUEST_COMPLETE	
0x501120	SignalEvent	302	QUEST_PROGRESS	
0x501217	SignalEvent	304	QUEST_FINISHED	
0x501903	SignalEvent	305	QUEST_ITEM_UPDATE	
0x5019fe	SignalEvent2	346	QUEST_ACCEPT_CONFIRM	%s%s
0x515e7a	SignalEvent2	?		%s
0x51f5ad	SignalEvent2	429	ADDON_LOADED	%s
0x5aae97	SignalEvent	278	LOGOUT_CANCEL	
0x5aaf17	SignalEvent	?		
0x5aaf72	SignalEvent	278	LOGOUT_CANCEL	
0x5ab2f5	SignalEvent	6		
0x5ad9f2	SignalEvent	388	WHO_LIST_UPDATE	
0x5ae141	SignalEvent	388	WHO_LIST_UPDATE	
0x5ae867	SignalEvent	351	FRIENDLIST_UPDATE	
0x5ae92d	SignalEvent	352	IGNORELIST_UPDATE	
0x5d48a8	SignalEvent	200	PLAYER_MONEY	
0x5d859a	SignalEvent	188	ITEM_LOCK_CHANGED	
0x5d9222	SignalEvent	290	USE_BIND_CONFIRM	
0x5d94b9	SignalEvent	188	ITEM_LOCK_CHANGED	
0x5dd15e	SignalEvent2	545	QUEST_WATCH_UPDATE	%d
0x5ddd6e	SignalEvent	347	PLAYERBANKSLOTS_CHANGED	
0x5ddf4b	SignalEvent	200	PLAYER_MONEY	
0x5ddffa	SignalEvent	202	PLAYER_COMBO_POINTS	
0x5de14e	SignalEvent	198	PLAYER_FARSIGHT_FOCUS_CHANGED	
0x5de167	SignalEvent	198	PLAYER_FARSIGHT_FOCUS_CHANGED	
0x5de4c1	SignalEvent2	?		%s
0x5de4e8	SignalEvent	406	UPDATE_EXHAUSTION	
0x5dea2a	SignalEvent	401	PLAYER_UNGHOST	
0x5deb20	SignalEvent2	213	ACTIONBAR_SLOT_CHANGED	%d
0x5deecb	SignalEvent2	162	UNIT_RANGED_ATTACK_POWER	%s
0x5df837	SignalEvent2	396	CONFIRM_XP_LOSS	%d
0x5dfa3f	SignalEvent2	512	CONFIRM_TALENT_WIPE	%d
0x5dfc5f	SignalEvent2	529	CONFIRM_PET_UNLEARN	%d
0x5dfec3	SignalEvent2	513	CONFIRM_BINDER	%s
0x5e05fc	SignalEvent	521	TABARD_SAVE_PENDING	
0x5e0907	SignalEvent	376	TABARD_CANSAVE_CHANGED	
0x5e0ee4	SignalEvent2	288	EQUIP_BIND_CONFIRM	%d
0x5e16c6	SignalEvent2	289	AUTOEQUIP_BIND_CONFIRM	%d
0x5e27b5	SignalEvent	345	PLAYER_GUILD_UPDATE	
0x5e2b38	SignalEvent2	28	UNIT_LEVEL	%s
0x5e3b20	SignalEvent	267	LOOT_OPENED	
0x5e413e	SignalEvent2	199	PLAYER_LEVEL_UP	%d%d%d%d%d%d%d%d%d
0x5e4527	SignalEvent2	394	UPDATE_TICKET	%d%s%f%f%f%d%d
0x5e45e2	SignalEvent2	394	UPDATE_TICKET	%d%s%f%f%f%d%d
0x5e461d	SignalEvent2	394	UPDATE_TICKET	%d%s
0x5e4689	SignalEvent2	400	UPDATE_GM_STATUS	%d
0x5e5e7b	SignalEvent2	545	QUEST_WATCH_UPDATE	%d
0x5e6c66	SignalEvent	218	PARTY_MEMBERS_CHANGED	
0x5e7172	SignalEvent	521	TABARD_SAVE_PENDING	
0x5e728d	SignalEvent2	284	GUILD_MOTD	%s
0x5e7960	SignalEvent2	394	UPDATE_TICKET	%d%s%f%f%f%d%d
0x5e797b	SignalEvent	538	GMSURVEY_DISPLAY	
0x5e79cc	SignalEvent2	364	MIRROR_TIMER_STOP	%s
0x5e7a11	SignalEvent2	363	MIRROR_TIMER_PAUSE	%s%d
0x5e7a9a	SignalEvent2	362	MIRROR_TIMER_START	%s%d%d%d%d%s
0x5e9b78	SignalEvent2	221	PARTY_MEMBER_DISABLE	%d
0x5e9ba5	SignalEvent2	364	MIRROR_TIMER_STOP	%s
0x5ec68b	SignalEvent	296	ITEM_TEXT_CLOSED	
0x5ec6c5	SignalEvent2	294	ITEM_TEXT_TRANSLATION	%f
0x5ed97f	SignalEvent2	332	UNIT_ATTACK	%s
0x5ed99f	SignalEvent2	332	UNIT_ATTACK	%s
0x5ed9b3	SignalEvent2	333	UNIT_DEFENSE	%s
0x5ed9c7	SignalEvent2	162	UNIT_RANGED_ATTACK_POWER	%s
0x5eeaf7	SignalEvent	405	PLAYER_UPDATE_RESTING	
0x5eeb6f	SignalEvent	530	PLAYTIME_CHANGED	
0x5ef037	SignalEvent	391	PETITION_CLOSED	
0x5ef16b	SignalEvent	379	GUILD_REGISTRAR_CLOSED	
0x5ef29c	SignalEvent	390	PETITION_SHOW	
0x5fefb8	SignalEvent	274	PLAYER_ALIVE	
0x5ff533	SignalEvent	191	PLAYER_REGEN_ENABLED	
0x5ff79f	SignalEvent	335	PET_ATTACK_STOP	
0x604b17	SignalEvent	331	LOCALPLAYER_PET_RENAMED	
0x604c1b	SignalEvent	427	PET_UI_UPDATE	
0x60fb84	SignalEvent	368	AUTOFOLLOW_END	
0x610071	SignalEvent2	367	AUTOFOLLOW_BEGIN	%s
0x61b2c7	SignalEvent2	506	CANCEL_LOOT_ROLL	%d
0x61b452	SignalEvent2	505	START_LOOT_ROLL	%d%d
0x61b6f3	SignalEvent2	506	CANCEL_LOOT_ROLL	%d
0x61b7ac	SignalEvent2	505	START_LOOT_ROLL	%d%d
0x61bc12	SignalEvent2	506	CANCEL_LOOT_ROLL	%d
0x61be8b	SignalEvent2	507	CONFIRM_LOOT_ROLL	%d%d
0x61bf2a	SignalEvent2	506	CANCEL_LOOT_ROLL	%d
0x6256ff	SignalEvent	193	PLAYER_ENTER_COMBAT	
0x625778	SignalEvent	194	PLAYER_LEAVE_COMBAT	
0x6268d3	SignalEvent2	542	COMBAT_TEXT_UPDATE	%s%s%s
0x62694d	SignalEvent2	542	COMBAT_TEXT_UPDATE	%s%s%s
0x62699c	SignalEvent2	542	COMBAT_TEXT_UPDATE	%s%s
0x6269c3	SignalEvent2	542	COMBAT_TEXT_UPDATE	%s%s
0x6269e2	SignalEvent2	542	COMBAT_TEXT_UPDATE	%s
0x6d902a	SignalEvent	207	MINIMAP_UPDATE_ZOOM	
0x6d95b8	SignalEvent	207	MINIMAP_UPDATE_ZOOM	
0x6e224a	SignalEvent	340	SPELLCAST_INTERRUPTED	
0x6e4a50	SignalEvent	338	SPELLCAST_STOP	
0x6e5952	SignalEvent	435	START_AUTOREPEAT_SPELL	
0x6e70c3	SignalEvent	528	AREA_SPIRIT_HEALER_OUT_OF_RANGE	
0x6e74d0	SignalEvent	338	SPELLCAST_STOP	
0x6e7532	SignalEvent2	341	SPELLCAST_DELAYED	%d
0x6e75d0	SignalEvent2	342	SPELLCAST_CHANNEL_START	%d%s
0x6e7611	SignalEvent2	343	SPELLCAST_CHANNEL_UPDATE	%d
0x6e7627	SignalEvent	344	SPELLCAST_CHANNEL_STOP	
0x6e7a53	SignalEvent2	337	SPELLCAST_START	%s%d
0x6ea170	SignalEvent	436	STOP_AUTOREPEAT_SPELL	
